Position (mm);10 x 10 MLC parked X d10cm (LR);10 x 10 MLC parked X d10cm (GT);10 x 10 MLC parked Y d10cm (LR);10 x 10 MLC parked Y d10cm (GT);10 x 10 MLC defined X d10cm (LR);10 x 10 MLC defined X d10cm (GT);10 x 10 MLC defined Y d10cm (LR);10 x 10 MLC defined Y d10cm (GT);10 x 10 MLC defined X d15cm (LR);10 x 10 MLC defined X d15cm (GT);10 x 10 MLC defined Y d15cm (LR);10 x 10 MLC defined Y d15cm (GT);10 x 10 MLC defined X d20cm (LR);10 x 10 MLC defined X d20cm (GT);10 x 10 MLC defined Y d20cm (LR);10 x 10 MLC defined Y d20cm (GT);10 x 10 MLC defined X d25cm (LR);10 x 10 MLC defined X d25cm (GT);10 x 10 MLC defined Y d25cm (LR);10 x 10 MLC defined Y d25cm (GT);5 x 5 MLC parked X d10cm (LR);5 x 5 MLC parked X d10cm (GT);5 x 5 MLC parked Y d10cm (LR);5 x 5 MLC parked Y d10cm (GT);5 x 5 MLC defined X d10cm (LR);5 x 5 MLC defined X d10cm (GT);5 x 5 MLC defined Y d10cm (LR);5 x 5 MLC defined Y d10cm (GT);15 x 15 MLC parked X d10cm (LR);15 x 15 MLC parked X d10cm (GT);15 x 15 MLC parked Y d10cm (LR);15 x 15 MLC parked Y d10cm (GT);15 x 15 MLC defined X d10cm (LR);15 x 15 MLC defined X d10cm (GT);15 x 15 MLC defined Y d10cm (LR);15 x 15 MLC defined Y d10cm (GT)
227;0.00397021;0.003910191;0.005922927;0.00592528;0.003110792;0.003079308;0.004027328;0.003964671;0.004737168;0.004630093;0.005978496;0.005862703;0.006757196;0.00666036;0.007487636;0.007322611;0.009261943;0.008983453;0.008957121;0.008980449;0.001334387;0.001331409;0.002817395;0.002642547;0.000981695;0.000959915;0.002153217;0.001879923;0.008166041;0.007939014;0.010721998;0.010520779;0.007515684;0.007328186;0.007950065;0.007641557
229;0.003865701;0.003804243;0.005734203;0.005718953;0.003057437;0.003017674;0.003838827;0.003813246;0.004616025;0.004525934;0.005811341;0.005709101;0.006587553;0.006449351;0.007659934;0.007300858;0.00904128;0.008775139;0.008812409;0.008926854;0.001298829;0.001272929;0.002660785;0.002507048;0.000984612;0.000932263;0.001992641;0.00175628;0.007984274;0.007697764;0.010327271;0.010257021;0.007321682;0.007144705;0.007687098;0.007381524
231;0.003774142;0.003717298;0.005526578;0.00553762;0.002979349;0.00295273;0.003645865;0.00360536;0.004459369;0.004418862;0.005708103;0.005549409;0.006416592;0.006370045;0.00763616;0.007275006;0.008848658;0.008457119;0.008656093;0.008858578;0.001248577;0.001244777;0.002513837;0.002356385;0.000940591;0.00091833;0.001842247;0.001601851;0.007739513;0.007533651;0.009977711;0.009990543;0.007139594;0.006958823;0.007348223;0.007147508
233;0.003702704;0.00362801;0.005359661;0.005360062;0.002905606;0.002896716;0.003452411;0.003489105;0.004395796;0.004312777;0.005590623;0.005395377;0.006182112;0.006170365;0.007503808;0.007225852;0.008576719;0.008247019;0.008550847;0.008828027;0.001220441;0.001213111;0.002293901;0.002212379;0.000932039;0.000875929;0.00166865;0.001485512;0.007553838;0.007325922;0.009683969;0.009718235;0.006971124;0.006808945;0.007100709;0.006901484
235;0.003623167;0.003538722;0.005122524;0.005221036;0.002861967;0.002794053;0.003256617;0.003303417;0.00425415;0.004198802;0.005361777;0.005228838;0.006060785;0.00598851;0.007336183;0.007080486;0.00832541;0.008075623;0.008601355;0.008823834;0.001187124;0.001170938;0.002118297;0.002090936;0.000896547;0.000872849;0.001529656;0.00138724;0.007398173;0.007198954;0.009392016;0.009416131;0.006810419;0.006680001;0.006805197;0.006637448
237;0.003537509;0.00346258;0.004954965;0.005094246;0.002773982;0.002733708;0.003116509;0.003174267;0.004160796;0.004077875;0.005180299;0.005025774;0.005928201;0.005811721;0.007152608;0.006955516;0.008124738;0.007890231;0.008796951;0.008851007;0.00114029;0.001128529;0.002010672;0.001957544;0.000878953;0.000855344;0.001360454;0.001280419;0.007216334;0.00699006;0.009119744;0.009152762;0.006612424;0.006508121;0.006512289;0.006455865
239;0.003473282;0.003360666;0.004808953;0.004900677;0.002688463;0.00268246;0.002982344;0.00307458;0.004081514;0.003959198;0.004988408;0.00486861;0.005753687;0.005680045;0.007051397;0.006843841;0.00798473;0.007709112;0.008940176;0.008778065;0.001123753;0.001094662;0.001870289;0.001873791;0.000886525;0.000834325;0.001272284;0.001203054;0.007029077;0.006818182;0.008876066;0.008930459;0.006455679;0.006352508;0.006354306;0.0061977
241;0.003401239;0.003313549;0.004693261;0.004795626;0.002652746;0.002588074;0.002878004;0.002932275;0.003975158;0.003904613;0.004766647;0.004671993;0.005588525;0.005557713;0.006887702;0.006661973;0.007749567;0.007460562;0.009004766;0.008799197;0.001101942;0.001074287;0.001781418;0.001771548;0.000865952;0.000821149;0.001180202;0.001131654;0.006886014;0.006686167;0.008647935;0.00866981;0.006290249;0.006175294;0.006187655;0.006017851
243;0.003303091;0.00321489;0.004583497;0.004647097;0.00255412;0.002521659;0.002792744;0.0028112;0.003860195;0.003818643;0.004544259;0.004482109;0.005451969;0.005386441;0.006730045;0.006446724;0.007555657;0.007262673;0.008839851;0.008677657;0.001064714;0.001053831;0.001693111;0.001682048;0.000838088;0.000805462;0.00112523;0.001067761;0.006735156;0.006507688;0.008436058;0.008531843;0.006135725;0.00604435;0.005933614;0.005892571
245;0.003261234;0.003159443;0.004495462;0.004568602;0.002503265;0.002494621;0.002712354;0.002734199;0.003755985;0.003714981;0.00431076;0.00432106;0.005351219;0.005252132;0.006570708;0.006217894;0.007279005;0.007067098;0.008667948;0.008476944;0.00104319;0.001020601;0.001633915;0.001616935;0.000835172;0.000793411;0.001075438;0.001026105;0.0065455;0.006339175;0.008222065;0.008259535;0.006019937;0.005903006;0.005774222;0.005658955
247;0.003175977;0.003086945;0.004353789;0.004456131;0.00245837;0.002422939;0.002627372;0.00263692;0.003660095;0.003580958;0.004135053;0.004152322;0.005238306;0.005177078;0.006416519;0.006075363;0.00718153;0.006938095;0.008439482;0.008255111;0.001010859;0.001004376;0.0015777;0.001554529;0.000805504;0.000759464;0.001018859;0.000967955;0.006412357;0.006239646;0.008076779;0.008096305;0.005867167;0.005758861;0.005614071;0.005535009
